index,FP,Carregamento,valorFusivel,tipoCurto,I_A_Isolador,I_B_Isolador,I_C_Isolador,I_A1_Isolador,I_B1_Isolador,I_C1_Isolador,I_A_Consumidor,I_B_Consumidor,I_C_Consumidor
220,0.75,1,2,5,1.470221,1.470246,1.470229,1.470222,1.47024,1.470248,1.462572,1.462589,1.46259
221,0.75,1,3,1,27.10427,25.7947,27.16958,27.56983,26.21595,26.28346,0.06487158,0.06486653,0.1297381
222,0.75,1,3,2,12.0275,14.47789,26.49351,22.23752,1.487118,23.65283,0.6670967,1.475971,0.8114733
223,0.75,1,3,3,14.45198,26.48882,12.04905,1.462986,23.6351,22.24719,1.451165,0.7999701,0.6539655
224,0.75,1,3,4,27.10427,12.32646,14.78658,24.1842,22.76343,1.475058,0.7318192,0.7317425,1.463562
225,0.75,1,3,5,1.471295,1.47132,1.471303,1.471297,1.471314,1.471323,1.463641,1.463658,1.463659
226,0.75,1,4,1,32.32487,30.44128,32.32884,32.93138,31.08043,31.08457,0.1525273,0.1525137,0.3050409
227,0.75,1,4,2,13.38769,18.07163,31.39946,25.84392,2.927017,28.55281,1.301917,2.916072,1.623392
228,0.75,1,4,3,18.01076,31.39079,13.44138,2.871384,28.51237,25.86963,2.859665,1.598985,1.270665
229,0.75,1,4,4,32.32487,13.82361,18.54627,29.36341,26.63338,2.899182,1.444001,1.443826,2.887827
230,0.75,1,4,5,2.895522,2.89559,2.895525,2.895507,2.895573,2.895576,2.887951,2.888017,2.888006
231,0.75,1,5,1,37.04048,34.55057,36.94434,37.77132,35.43345,35.33294,0.258517,0.2584914,0.5170083
232,0.75,1,5,2,14.59572,21.32045,35.76168,29.03617,4.331897,32.93368,1.912329,4.321139,2.430041
233,0.75,1,5,3,21.21786,35.74985,14.69006,4.240249,32.8669,29.08319,4.228636,2.392199,1.859618
